time,DHT22 humidity,DHT22 temp,BMP085 temp,BMP085 pressure,
22:07:43,30.00,27.40,31.70,101404,

22:08:09,29.10,27.30,31.70,101412,
22:08:36,28.50,27.30,31.70,101408,
22:09:03,27.20,27.20,31.70,101411,
22:09:29,27.30,27.20,31.70,101404,
22:09:56,27.50,27.20,31.70,101403,
22:10:23,27.50,27.10,31.80,101396,
22:10:50,28.30,27.10,31.80,101405,
22:11:17,27.90,27.10,31.80,101403,
22:11:44,27.60,27.10,31.80,101407,
22:12:11,27.80,27.00,31.90,101402,
22:12:37,27.00,27.00,31.90,101398,
22:13:04,25.80,27.00,31.90,101397,
22:13:31,25.90,26.90,31.90,101400,
22:13:58,26.50,26.80,31.90,101404,
22:14:25,27.80,26.90,31.90,101403,
22:14:52,28.00,26.80,31.90,101396,
22:15:18,27.70,26.90,32.00,101397,
22:15:45,28.20,26.80,32.00,101399,
22:16:12,27.60,26.80,32.00,101400,
22:16:39,27.70,26.80,32.00,101408,
22:17:06,28.10,26.80,32.00,101403,
22:17:33,27.90,26.80,32.00,101403,
22:17:59,27.20,26.70,32.00,101398,
22:18:26,27.50,26.70,32.00,101408,
22:18:53,27.80,26.70,32.00,101401,
22:19:20,26.50,26.70,32.00,101405,
22:19:47,28.10,26.70,32.00,101407,
22:20:14,27.80,26.70,32.00,101414,
